name,url
Jordan,
United States,
Austria,
Paraguay,
Japan,
Ivory Coast,
Scotland,
Switzerland,
Mexico,
Tunisia,
Portugal,
Iraq,
Ghana,
Czechia,
Brazil,
Colombia,
Croatia,
Panama,
Egypt,
Bosnia and Herzegovina,
New Zealand,
Canada,
Uzbekistan,
DR Congo,
Argentina,
Algeria,
Cape Verde,
Qatar,
Iran,
Belgium,
Senegal,
South Korea,
Saudi Arabia,
Ecuador,
Spain,
France,
South Africa,
Sweden,
Morocco,
Netherlands,
Uruguay,
Norway,
England,
Turkey,
Australia,
Haiti,
Curacao,
Germany,
